OPCODE,INST,ADDRESSING,BYTES,CYCLES,PAGE-X,ON-PAGE,FLAGS,ACTION
00,BRK,imp,1,7,,,---I--,Break and Force Interrupt
01,ORA,ind-x,2,6,,,NZ----,Logical OR
05,ORA,zp,2,3,,,NZ----,Logical OR
06,ASL,zp,2,5,,,NZC---,Arithmetic Shift Left
08,PHP,imp,1,3,,,------,Push Status on Stack
09,ORA,imm,2,2,,,NZ----,Logical OR
0A,ASL,A,1,2,,,NZC---,Arithmetic Shift Left
0D,ORA,abs,3,4,,,NZ----,Logical OR
0E,ASL,abs,3,6,,,NZC---,Arithmetic Shift Left
10,BPL,rel,2,2,2,1,------,Branch on Positive
11,ORA,ind-y,2,5,1,,NZ----,Logical OR
15,ORA,zp-x,2,4,,,NZ----,Logical OR
16,ASL,zp-x,2,6,,,NZC---,Arithmetic Shift Left
18,CLC,imp,1,2,,,--C---,Clear Carry Flag
19,ORA,abs-y,3,4,1,,NZ----,Logical OR
1D,ORA,abs-x,3,4,1,,NZ----,Logical OR
1E,ASL,abs-x,3,7,,,NZC---,Arithmetic Shift Left
20,JSR,abs,3,6,,,------,"Jump, Save Return"
21,AND,ind-x,2,6,,,NZ----,Logical AND
24,BIT,zp,2,3,,,NZ---V,"Test Bits 7, 6"
25,AND,zp,2,3,,,NZ----,Logical AND
26,ROL,zp,2,5,,,NZC---,Rotate Left (Bit to Carry)
28,PLP,imp,1,4,,,NZ----,Pull Status from Stack
29,AND,imm,2,2,,,NZ----,Logical AND
2A,ROL,A,1,2,,,NZC---,Rotate Left (Bit to Carry)
2C,BIT,abs,3,4,,,NZ---V,"Test Bits 7, 6"
2D,AND,abs,3,4,,,NZ----,Logical AND
2E,ROL,abs,3,6,,,NZC---,Rotate Left (Bit to Carry)
30,BMI,rel,2,2,2,1,------,Branch on Negative
31,AND,ind-y,2,5,1,,NZ----,Logical AND
35,AND,zp-x,2,4,,,NZ----,Logical AND
36,ROL,zp-x,2,6,,,NZC---,Rotate Left (Bit to Carry)
38,SEC,imp,1,2,,,--C---,Set Carry Flag
39,AND,abs-y,3,4,1,,NZ----,Logical AND
3D,AND,abs-x,3,4,1,,NZ----,Logical AND
3E,ROL,abs-x,3,7,,,NZC---,Rotate Left (Bit to Carry)
40,RTI,imp,1,6,,,NZCIDV,Return from Interrupt
41,EOR,ind-x,2,6,,,NZ----,Exclusive OR to A
45,EOR,zp,2,3,,,NZ----,Exclusive OR to A
46,LSR,zp,2,5,,,NZC---,Logical Shift Right
48,PHA,imp,1,3,,,------,Push A on Stack
49,EOR,imm,2,2,,,NZ----,Exclusive OR to A
4A,LSR,A,1,2,,,NZC---,Logical Shift Right
4C,JMP,abs,3,3,,,------,Jump
4D,EOR,abs,3,4,,,NZ----,Exclusive OR to A
4E,LSR,abs,3,6,,,NZC---,Logical Shift Right
50,BVC,rel,2,2,2,1,------,Branch on Overflow Clear
51,EOR,ind-y,2,5,1,,NZ----,Exclusive OR to A
55,EOR,zp-x,2,4,,,NZ----,Exclusive OR to A
56,LSR,zp-x,2,6,,,NZC---,Logical Shift Right
58,CLI,imp,1,2,,,---I--,Clear Interrupt Disable
59,EOR,abs-y,3,4,1,,NZ----,Exclusive OR to A
5D,EOR,abs-x,3,4,1,,NZ----,Exclusive OR to A
5E,LSR,abs-x,3,7,,,NZC---,Logical Shift Right
60,RTS,imp,1,6,,,------,Return from Subroutine
61,ADC,ind-x,2,6,,,NZC--V,Add with Carry
65,ADC,zp,2,3,,,NZC--V,Add with Carry
66,ROR,zp,2,5,,,NZC---,Rotate Right (Bit to Carry)
68,PLA,imp,1,4,,,NZ----,Pull A from Stack
69,ADC,imm,2,2,,,NZC--V,Add with Carry
